id,name
0,tying bow tie
1,using segway
2,springboard diving
3,taking a shower
4,blowing leaves
5,yawning
6,sniffing
7,digging
8,shredding paper
9,cooking on campfire
10,unloading truck
11,drinking shots
12,washing hair
13,swinging legs
14,applauding
15,bending metal
16,drumming fingers
17,water sliding
18,climbing a rope
19,whistling
20,recording music
21,grinding meat
22,making tea
23,exercising arm
24,reading newspaper
25,news anchoring
26,jogging
27,laying bricks
28,moving furniture
29,sharpening knives
30,rock scissors paper
31,running on treadmill
32,building shed
33,plastering
34,bee keeping
35,holding snake
36,waiting in line
37,gargling
38,building cabinet
39,shooting goal (soccer)
40,making sushi
41,faceplanting
42,making a sandwich
43,exercising with an exercise ball
44,sign language interpreting
45,cracking neck
46,garbage collecting
47,drawing
48,stomping grapes
49,cleaning pool
50,making a cake
51,peeling potatoes
52,breading or breadcrumbing
53,doing aerobics
54,slapping
55,tossing coin
56,tossing salad
57,doing laundry
58,changing wheel
59,pushing wheelchair
60,massaging feet
61,cooking sausages
62,playing kickball
63,riding mule
64,skiing crosscountry
65,spraying
66,sword fighting
67,riding a bike
68,riding mountain bike
69,swinging on something
70,applying cream
71,hockey stop
72,strumming guitar
73,playing flute
74,answering questions
75,training dog
76,setting table
77,auctioning
78,juggling soccer ball
79,egg hunting
80,skipping rope
81,clapping
82,punching person (boxing)
83,wrestling
84,eating cake
85,sneezing
86,testifying
87,parkour
88,skydiving
89,skiing slalom
90,shaving legs
91,hugging
92,swing dancing
93,clay pottery making
94,eating carrots
95,massaging legs
96,playing controller
97,eating doughnuts
98,assembling computer
99,brush painting
100,ice fishing
101,ironing
102,pumping gas
103,planting trees
104,waxing back
105,kicking soccer ball
106,using remote controller (not gaming)
107,bobsledding
108,eating watermelon
109,checking tires
110,cutting nails
111,hoverboarding
112,carrying baby
113,eating hotdog
114,disc golfing
115,drinking beer
116,vault
117,bandaging
118,cleaning toilet
119,blowing nose
120,sanding floor
121,arranging flowers
122,peeling apples
123,frying vegetables
124,decorating the christmas tree
125,tasting beer
126,drinking
127,sweeping floor
128,dodgeball
129,extinguishing fire
130,shooting basketball
131,tasting food
132,bartending
133,cleaning gutters
134,tickling
135,mopping floor
136,ripping paper
137,shining shoes
138,baby waking up
139,cartwheeling
140,snowmobiling
141,cooking egg
142,grooming dog
143,push up
144,hurdling
145,bending back
146,trimming trees
147,headbutting
148,kissing
149,shaking hands
150,throwing ball
151,playing cymbals
152,catching fish
153,massaging person's head
154,swimming butterfly stroke
155,grooming horse
156,getting a haircut
157,counting money
158,making jewelry
159,climbing ladder
160,krumping
161,juggling fire
162,jumpstyle dancing
163,watering plants
164,fixing hair
165,riding scooter
166,tying tie
167,playing organ
168,dining
169,making bed
170,bouncing on trampoline
171,folding clothes
172,knitting
173,playing piano
174,cleaning windows
175,cleaning shoes
176,riding mechanical bull
177,tapping pen
178,golf chipping
179,texting
180,carving pumpkin
181,cutting pineapple
182,changing oil
183,drop kicking
184,riding camel
185,flipping pancake
186,stretching arm
187,blasting sand
188,waxing eyebrows
189,playing keyboard
190,celebrating
191,writing
192,dancing charleston
193,hopscotch
194,water skiing
195,braiding hair
196,playing cards
197,playing monopoly
198,opening bottle
199,eating chips
